iso_code,continent,location,date,total_cases,new_cases,total_cases_growth,total_deaths,new_deaths,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population,Entity,Code,Day,Pfizer/BioNTech,Pfizer_growth,Moderna,Moderna_growth,Oxford/AstraZeneca,Oxford/AstraZeneca_growth,Johnson&Johnson,Johnson&Johnson_growth,Sputnik V,Sputnik V_growth,Sinovac,Sinovac_growth,Sinopharm/Beijing,Sinopharm/Beijing_growth,CanSino
AUT,Europe,Austria,08/01/2021,376793,2063,0,6641,73,,,tests performed,24739,24739,,,13296,9043072,Austria,AUT,08/01/2021,31523,0,0,0,0,0,0,,0,,0,,0,,0
AUT,Europe,Austria,15/01/2021,390788,1528,0.03714241,6987,66,,,tests performed,104393,104389,4,,18657,9043072,Austria,AUT,15/01/2021,116861,2.707166196,94,0,0,0,0,,0,,0,,0,,0
AUT,Europe,Austria,22/01/2021,401886,2088,0.02839903,7330,42,,,tests performed,210517,205531,4984,2,11678,9043072,Austria,AUT,22/01/2021,214527,0.83574503,332,2.531914894,0,0,0,,0,,0,,0,,0
AUT,Europe,Austria,29/01/2021,411730,1500,0.024494508,7658,51,,,tests performed,258906,239749,19155,2,15282,9043072,Austria,AUT,29/01/2021,259636,0.210271901,4324,12.02409639,0,0,0,,0,,0,,0,,0
AUT,Europe,Austria,05/02/2021,421189,1388,0.022973794,7973,37,0.0121,82.5,tests performed,347942,256700,91235,7,21571,9043072,Austria,AUT,05/02/2021,355977,0.371061794,6036,0.395929695,0,0,0,,0,,0,,0,,0
AUT,Europe,Austria,12/02/2021,430870,1731,0.022984931,8170,32,0.0066,151.7,tests performed,466716,282932,183776,8,27178,9043072,Austria,AUT,12/02/2021,458112,0.286914604,10154,0.682239894,10805,0,0,,0,,0,,0,,0
AUT,Europe,Austria,19/02/2021,441659,1818,0.025040035,8348,36,0.0073,137.5,tests performed,563328,335187,228123,18,21691,9043072,Austria,AUT,19/02/2021,524249,0.144368626,14315,0.409789246,43640,3.038870893,0,,0,,0,,0,,0
AUT,Europe,Austria,26/02/2021,454860,2093,0.029889575,8515,22,0.0086,116.7,tests performed,675088,425997,249074,18,29763,9043072,Austria,AUT,26/02/2021,585847,0.117497601,22788,0.591896612,101581,,1,,0,,0,,0,,0
AUT,Europe,Austria,05/03/2021,470314,2668,0.033975289,8669,17,0.0091,109.4,tests performed,839829,576356,263457,18,37712,9043072,Austria,AUT,05/03/2021,690854,0.179239631,32166,0.411532385,156702,,4,,0,,0,,0,,0
AUT,Europe,Austria,12/03/2021,488042,3126,0.037693966,8831,33,0.0099,100.6,tests performed,1054905,767526,287366,19,59290,9043072,Austria,AUT,12/03/2021,854539,0.236931392,47596,0.479699061,235746,,6,,0,,0,,0,,0
AUT,Europe,Austria,19/03/2021,508096,3515,0.041090726,9024,42,0.0103,96.7,tests performed,1314528,982813,331728,19,54650,9043072,Austria,AUT,19/03/2021,987873,0.156030327,79463,0.669531053,309261,,33,,0,,0,,0,,0
AUT,Europe,Austria,26/03/2021,530288,3895,0.043676785,9200,22,0.0101,99.4,tests performed,1570326,1151110,419247,21,51931,9043072,Austria,AUT,26/03/2021,1135506,0.149445323,104982,0.321143174,384967,,56,,0,,0,,0,,0
AUT,Europe,Austria,02/04/2021,552729,3137,0.042318514,9397,29,0.011,90.7,tests performed,1819575,1310574,509070,21,44698,9043072,Austria,AUT,02/04/2021,1284785,0.131464739,141548,0.348307329,423714,,97,,0,,0,,0,,0
AUT,Europe,Austria,09/04/2021,571616,2702,0.034170452,9624,38,0.0091,109.9,tests performed,2113859,1500411,613565,33,79713,9043072,Austria,AUT,09/04/2021,1508003,0.173739575,181306,0.280879984,514350,,181,,0,,0,,0,,0
AUT,Europe,Austria,16/04/2021,589299,2416,0.030935103,9843,30,0.0083,120.8,tests performed,2503704,1773877,729984,39,71411,9043072,Austria,AUT,16/04/2021,1744048,0.156528203,224108,0.236076026,610586,,200,,0,,0,,0,,0
AUT,Europe,Austria,23/04/2021,604823,2329,0.026343164,10055,29,0.0082,121.6,tests performed,2866006,2057212,808956,40,69322,9043072,Austria,AUT,23/04/2021,2009863,0.152412663,261769,0.168048441,659776,,209,,0,,0,,0,,0
AUT,Europe,Austria,30/04/2021,618870,2131,0.023224977,10205,26,0.0082,121.5,tests performed,3234265,2358255,876256,42,82026,9043072,Austria,AUT,30/04/2021,2285766,0.137274531,301053,0.150071246,702389,,509,,0,,0,,0,,0
AUT,Europe,Austria,07/05/2021,628817,1333,0.016072842,10351,18,0.0047,210.8,tests performed,3674842,2696365,984145,68,110555,9043072,Austria,AUT,07/05/2021,2619254,0.145897699,350734,0.165024099,765657,,6712,,0,,0,,0,,0
AUT,Europe,Austria,14/05/2021,635780,887,0.011073174,10455,11,0.0036,280,tests performed,4087712,3001515,1098214,80,91767,9043072,Austria,AUT,14/05/2021,2921928,0.11555733,401209,0.143912481,830189,,13888,,0,,0,,0,,0
AUT,Europe,Austria,21/05/2021,640293,677,0.007098367,10534,7,0.0021,467.6,tests performed,4626517,3367492,1283493,85,113457,9043072,Austria,AUT,21/05/2021,3303637,0.130636005,469733,0.170793776,908145,,26338,,0,,0,,0,,0
AUT,Europe,Austria,28/05/2021,643709,541,0.005335058,10588,15,0.0012,801.8,tests performed,5105649,3643490,1500420,94,111953,9043072,Austria,AUT,28/05/2021,3642706,0.102635066,523813,0.115129233,991035,,38789,,0,,0,,0,,0
AUT,Europe,Austria,04/06/2021,646167,333,0.003818496,10631,4,0.0007,1351.2,tests performed,5670970,3935622,1794072,106,111121,9043072,Austria,AUT,04/06/2021,4072449,0.117973561,579794,0.106872109,1059556,,59727,,0,,0,,0,,0
AUT,Europe,Austria,11/06/2021,648187,216,0.003126127,10652,2,0.0006,1563.3,tests performed,6314849,4243648,2152021,127,132611,9043072,Austria,AUT,11/06/2021,4515375,0.108761583,643391,0.109688958,1154740,,81743,,0,,0,,0,,0
AUT,Europe,Austria,18/06/2021,649309,128,0.001730982,10677,3,0.0004,2598.4,tests performed,6913440,4493020,2516952,151,114281,9043072,Austria,AUT,18/06/2021,4975018,0.101795089,693590,0.07802254,1206648,,97003,,0,,0,,0,,0
AUT,Europe,Austria,25/06/2021,650016,94,0.00108885,10700,3,0.0002,4402.2,tests performed,7512890,4705187,2913058,182,123722,9043072,Austria,AUT,25/06/2021,5425006,0.090449522,749905,0.0811935,1280145,,105834,,0,,0,,0,,0
AUT,Europe,Austria,02/07/2021,650569,95,0.000850748,10709,3,0.0002,4366.5,tests performed,8128140,4896523,3354255,228,115514,9043072,Austria,AUT,02/07/2021,5820999,0.072994021,810519,0.080828905,1387359,,131475,,0,,0,,0,,0
AUT,Europe,Austria,09/07/2021,651291,163,0.001109798,10722,1,0.0003,3611.4,tests performed,8669147,5078386,3740969,360,90895,9043072,Austria,AUT,09/07/2021,6154830,0.057349434,861541,0.062949789,1451678,,155827,,0,,0,,0,,0
AUT,Europe,Austria,16/07/2021,653001,341,0.002625554,10728,1,0.0006,1638.7,tests performed,9094559,5188432,4073251,539,82217,9043072,Austria,AUT,16/07/2021,6433075,0.045207585,906733,0.052454845,1500110,,175407,,0,,0,,0,,0
AUT,Europe,Austria,23/07/2021,655589,392,0.00396324,10730,0,0.0011,947.1,tests performed,9465283,5285631,4365907,651,72046,9043072,Austria,AUT,23/07/2021,6686795,0.039439926,953502,0.051579682,1527016,,192273,,0,,0,,0,,0
AUT,Europe,Austria,30/07/2021,658518,514,0.004467738,10737,0,0.0011,897.3,tests performed,9789600,5351310,4639862,826,56437,9043072,Austria,AUT,30/07/2021,6901346,0.032085775,972659,0.020091201,1551833,,204633,,0,,0,,0,,0
AUT,Europe,Austria,06/08/2021,661922,563,0.005169183,10748,3,0.0015,683.3,tests performed,10062459,5404126,4873045,1063,46678,9043072,Austria,AUT,06/08/2021,7081579,0.02611563,990648,0.018494663,1566119,,220110,,0,,0,,0,,0
AUT,Europe,Austria,13/08/2021,666890,1005,0.007505416,10753,0,0.0021,465.3,tests performed,10270748,5445828,5051936,1433,26549,9043072,Austria,AUT,13/08/2021,7208709,0.017952211,1000280,0.009722929,1571400,,230653,,0,,0,,0,,0
AUT,Europe,Austria,20/08/2021,674077,1258,0.01077689,10761,1,0.0031,319.9,tests performed,10424331,5488055,5175123,1856,26087,9043072,Austria,AUT,20/08/2021,7303895,0.013204306,1014326,0.014042068,1574033,,244284,,0,,0,,0,,0
AUT,Europe,Austria,27/08/2021,683219,1602,0.013562249,10776,4,0.0041,242.6,tests performed,10533338,5538059,5248508,2777,19008,9043072,Austria,AUT,27/08/2021,7363999,0.008229034,1018174,0.003793652,1575779,,258228,,0,,0,,0,,0
AUT,Europe,Austria,03/09/2021,693416,1753,0.014924936,10785,7,0.0048,208.1,tests performed,10619562,5584926,5298073,5257,16337,9043072,Austria,AUT,03/09/2021,7417165,0.007219719,1023181,0.004917627,1577607,,271336,,0,,0,,0,,0
AUT,Europe,Austria,10/09/2021,705913,2341,0.01802237,10832,10,0.005,200.4,tests performed,10709832,5635378,5344282,11115,19315,9043072,Austria,AUT,10/09/2021,7473902,0.007649419,1026350,0.003097204,1578644,,285466,,0,,0,,0,,0
AUT,Europe,Austria,17/09/2021,720455,2364,0.020600272,10882,12,0.0058,173.4,tests performed,10816826,5695210,5392609,23496,24613,9043072,Austria,AUT,17/09/2021,7546355,0.009694133,1030946,0.004478005,1579499,,296991,,0,,0,,0,,0
AUT,Europe,Austria,24/09/2021,732157,1754,0.016242513,10953,10,0.0046,216.5,tests performed,10930412,5752738,5441656,44801,24852,9043072,Austria,AUT,24/09/2021,7621980,0.010021394,1035162,0.004089448,1580539,,310923,,0,,0,,0,,0
